dollar,opp1,opp2,winner,opp1_rank,opp1_age,opp1_year_pro,opp1_weight,opp1_height,opp1_first_serve,opp1_first_serve_points_won,opp1_second_serve_points_won,opp1_break_points_saved,opp1_service_points_won,opp1_total_service_points_won,opp1_first_serve_return_points_won,opp1_second_serve_return_points_won,opp1_break_points_converted,opp1_return_games_won,opp1_return_points_won,opp1_total_points_won,opp1_overall_career,opp1_grandslams_career,opp1_atpworld_career,opp1_tiebreaks_career,opp1_vs_top_10_career,opp1_finals_career,opp1_deciding_set_career,opp1_fifth_set_record_career,opp1_after_winning_first_set_career,opp1_after_losing_first_set_career,opp2_rank,opp2_age,opp2_year_pro,opp2_weight,opp2_height,opp2_first_serve,opp2_first_serve_points_won,opp2_second_serve_points_won,opp2_break_points_saved,opp2_service_points_won,opp2_total_service_points_won,opp2_first_serve_return_points_won,opp2_second_serve_return_points_won,opp2_break_points_converted,opp2_return_games_won,opp2_return_points_won,opp2_total_points_won,opp2_overall_career,opp2_grandslams_career,opp2_atpworld_career,opp2_tiebreaks_career,opp2_vs_top_10_career,opp2_finals_career,opp2_deciding_set_career,opp2_fifth_set_record_career,opp2_after_winning_first_set_career,opp2_after_losing_first_set_career,opp1_overall_wl_rolling,opp2_overall_wl_rolling,opp1_surface_winloss,opp2_surface_winloss,opp1_surfaceType_winloss,opp2_surfaceType_winloss,opp1_set_win_ratio,opp2_set_win_ratio,opp1_vs_opp2_win_rate,opp2_vs_opp1_win_rate,opp1_set1_win_rate,opp1_set2_win_rate,opp1_set3_win_rate,opp1_set4_win_rate,opp1_set5_win_rate,opp2_set1_win_rate,opp2_set2_win_rate,opp2_set3_win_rate,opp2_set4_win_rate,opp2_set5_win_rate,first_set_winner,opp1_vs_opp2_hand,opp2_vs_opp1_hand
1,Nicolas Almagro,Jiri Vesely,1,1.0,10,8.0,10,10,5,8,5,6,8,6,3,5,4,2,4,5,6.0,6.0,5.0,5.0,2.0,6.0,5.0,5.0,9.0,2.0,1.0,10,8.0,9,9,6,7,6,6,8,7,3,5,4,2,4,5,4.0,5.0,3.0,5.0,1.0,5.0,4.0,4.0,8.0,1.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,4.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0
1,Albert Ramos-Vinolas,Diego Schwartzman,2,1.0,10,8.0,10,10,6,7,5,6,8,6,3,5,4,2,4,5,5.0,3.0,5.0,4.0,1.0,3.0,5.0,6.0,8.0,2.0,1.0,10,8.0,8,9,6,7,5,6,7,6,3,5,5,3,4,5,4.0,2.0,1.0,4.0,0.0,5.0,4.0,0.0,7.0,1.0,5.0,5.0,5.0,4.0,6.0,6.0,4.0,6.0,4.0,6.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,7.0
1,Pablo Carreno Busta,Federico Delbonis,2,1.0,10,8.0,10,10,6,7,5,6,8,6,3,5,5,3,4,5,5.0,4.0,3.0,5.0,0.0,5.0,4.0,2.0,8.0,2.0,1.0,10,8.0,9,10,6,7,5,6,8,6,3,5,4,2,4,5,5.0,3.0,3.0,5.0,3.0,5.0,4.0,4.0,8.0,2.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,2.0,7.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0
1,Rogerio Dutra Silva,Santiago Giraldo,2,1.0,9,9.0,10,10,6,7,5,5,7,6,2,4,4,2,3,5,3.0,2.0,0.0,5.0,0.0,0.0,4.0,7.0,7.0,1.0,1.0,10,8.0,10,10,6,7,5,6,8,6,3,5,4,2,4,5,5.0,3.0,4.0,4.0,1.0,0.0,4.0,4.0,8.0,1.0,2.0,5.0,3.0,5.0,2.0,5.0,3.0,7.0,3.0,7.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,2.0,5.0
1,Dusan Lajovic,Mikhail Youzhny,1,1.0,10,8.0,10,10,7,7,5,6,8,6,2,5,4,2,3,5,4.0,4.0,2.0,5.0,0.0,0.0,5.0,2.0,7.0,1.0,1.0,9,9.0,10,10,6,7,5,6,8,6,3,5,4,2,4,5,6.0,6.0,4.0,5.0,3.0,5.0,5.0,6.0,8.0,2.0,4.0,5.0,2.0,5.0,5.0,4.0,6.0,4.0,6.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,1.0,4.0,4.0
1,Paul-Henri Mathieu,Kenny De Schepper,1,1.0,9,9.0,10,10,6,7,5,6,8,6,3,5,4,2,4,5,5.0,5.0,4.0,5.0,1.0,4.0,5.0,5.0,8.0,2.0,1.0,10,8.0,7,9,7,6,5,6,7,6,3,5,3,1,3,5,3.0,3.0,0.0,4.0,3.0,0.0,4.0,3.0,8.0,1.0,5.0,5.0,5.0,6.0,5.0,4.0,8.0,2.0,8.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,8.0,5.0
1,Jurgen Melzer,Daniel Gimeno-Traver,1,1.0,9,9.0,10,10,7,7,4,6,7,6,4,5,5,3,4,5,5.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,8.0,2.0,1.0,10,8.0,10,10,6,7,5,6,7,6,3,5,4,2,4,5,4.0,2.0,4.0,4.0,1.0,0.0,4.0,4.0,8.0,1.0,6.0,5.0,3.0,7.0,7.0,6.0,6.0,4.0,6.0,4.0,6.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,1.0,7.0,2.0
1,Albert Montanes,Gerald Melzer,1,1.0,9,9.0,9,10,6,7,6,5,8,6,2,5,4,2,3,5,5.0,4.0,4.0,5.0,1.0,5.0,6.0,7.0,8.0,2.0,1.0,10,8.0,10,10,7,7,5,6,8,6,3,5,5,2,3,5,3.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,6.0,2.0,4.0,5.0,2.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,4.0
1,Dennis Novak,Aljaz Bedene,1,4.0,10,8.0,10,10,6,5,4,4,3,4,2,5,0,0,3,4,2.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,10.0,1.0,1.0,10,8.0,9,10,6,7,5,6,8,6,3,5,4,2,4,5,4.0,2.0,4.0,6.0,0.0,0.0,5.0,10.0,7.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,6.0,4.0,6.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,5.0,4.0,4.0,5.0,2.0,3.0,4.0
1,Jaume Munar,Paul-Henri Mathieu,2,4.0,9,9.0,10,10,6,5,5,4,5,5,2,6,10,1,3,4,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,9,9.0,10,10,6,7,5,6,8,6,3,5,4,2,4,5,5.0,5.0,4.0,5.0,1.0,4.0,5.0,5.0,8.0,2.0,0.0,5.0,2.0,5.0,2.0,5.0,4.0,6.0,4.0,6.0,1.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,2.0,0.0,4.0
